"ITTER107","Territorio","TIPO_DATO35","Tipo dato","REATI_PS","Tipo di delitto","SEXISTAT1","Sesso","ETA1","Classe di età","CITTADINANZA","Cittadinanza","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","MASSMURD","strage","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",0,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","MASSMURD","strage","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",1,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","INTENHOM","omicidi volontari consumati","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",125,,
"IT","Italia","VICTIM","numero di vittime di delitto","INTENHOM","omicidi volontari consumati","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",10,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","INTENHOM","omicidi volontari consumati","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",5,,
"IT","Italia","VICTIM","numero di vittime di delitto","INTENHOM","omicidi volontari consumati","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",2,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","ROBBHOM","omicidi volontari consumati a scopo di furto o rapina","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",8,,
"IT","Italia","VICTIM","numero di vittime di delitto","ROBBHOM","omicidi volontari consumati a scopo di furto o rapina","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",1,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","ROBBHOM","omicidi volontari consumati a scopo di furto o rapina","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",0,,
"IT","Italia","VICTIM","numero di vittime di delitto","ROBBHOM","omicidi volontari consumati a scopo di furto o rapina","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",0,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","MAFIAHOM","omicidi volontari consumati di tipo mafioso","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",50,,
"IT","Italia","VICTIM","numero di vittime di delitto","MAFIAHOM","omicidi volontari consumati di tipo mafioso","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",1,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","MAFIAHOM","omicidi volontari consumati di tipo mafioso","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",1,,
"IT","Italia","VICTIM","numero di vittime di delitto","MAFIAHOM","omicidi volontari consumati di tipo mafioso","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",0,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","TERRORHOM","omicidi volontari consumati a scopo terroristico","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",0,,
"IT","Italia","VICTIM","numero di vittime di delitto","TERRORHOM","omicidi volontari consumati a scopo terroristico","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",0,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","TERRORHOM","omicidi volontari consumati a scopo terroristico","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",0,,
"IT","Italia","VICTIM","numero di vittime di delitto","TERRORHOM","omicidi volontari consumati a scopo terroristico","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",0,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","ATTEMPHOM","tentati omicidi","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",254,,
"IT","Italia","VICTIM","numero di vittime di delitto","ATTEMPHOM","tentati omicidi","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",68,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","ATTEMPHOM","tentati omicidi","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",10,,
"IT","Italia","VICTIM","numero di vittime di delitto","ATTEMPHOM","tentati omicidi","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",16,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","INFANTHOM","infanticidi","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",0,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","INFANTHOM","infanticidi","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",0,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","MANSHOM","omicidi preterintenzionali","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",4,,
"IT","Italia","VICTIM","numero di vittime di delitto","MANSHOM","omicidi preterintenzionali","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",0,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","MANSHOM","omicidi preterintenzionali","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",0,,
"IT","Italia","VICTIM","numero di vittime di delitto","MANSHOM","omicidi preterintenzionali","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",0,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","UNINTHOM","omicidi colposi","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",130,,
"IT","Italia","VICTIM","numero di vittime di delitto","UNINTHOM","omicidi colposi","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",84,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","UNINTHOM","omicidi colposi","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",28,,
"IT","Italia","VICTIM","numero di vittime di delitto","UNINTHOM","omicidi colposi","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",33,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","ROADHOM","omicidi colposi da incidente stradale","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",117,,
"IT","Italia","VICTIM","numero di vittime di delitto","ROADHOM","omicidi colposi da incidente stradale","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",71,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","ROADHOM","omicidi colposi da incidente stradale","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",25,,
"IT","Italia","VICTIM","numero di vittime di delitto","ROADHOM","omicidi colposi da incidente stradale","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",25,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","BLOWS","percosse","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",484,,
"IT","Italia","VICTIM","numero di vittime di delitto","BLOWS","percosse","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",615,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","BLOWS","percosse","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",115,,
"IT","Italia","VICTIM","numero di vittime di delitto","BLOWS","percosse","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",541,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","CULPINJU","lesioni dolose","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",4123,,
"IT","Italia","VICTIM","numero di vittime di delitto","CULPINJU","lesioni dolose","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",3504,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","CULPINJU","lesioni dolose","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",697,,
"IT","Italia","VICTIM","numero di vittime di delitto","CULPINJU","lesioni dolose","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",1859,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","MENACE","minacce","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",2434,,
"IT","Italia","VICTIM","numero di vittime di delitto","MENACE","minacce","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",2273,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","MENACE","minacce","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",501,,
"IT","Italia","VICTIM","numero di vittime di delitto","MENACE","minacce","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",1927,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","STALK","stalking","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",661,,
"IT","Italia","VICTIM","numero di vittime di delitto","STALK","stalking","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",166,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","STALK","stalking","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",90,,
"IT","Italia","VICTIM","numero di vittime di delitto","STALK","stalking","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",1048,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","KIDNAPP","sequestri di persona","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",108,,
"IT","Italia","VICTIM","numero di vittime di delitto","KIDNAPP","sequestri di persona","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",43,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","KIDNAPP","sequestri di persona","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",4,,
"IT","Italia","VICTIM","numero di vittime di delitto","KIDNAPP","sequestri di persona","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",57,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","RAPE","violenze sessuali","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",308,,
"IT","Italia","VICTIM","numero di vittime di delitto","RAPE","violenze sessuali","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",54,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","RAPE","violenze sessuali","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",8,,
"IT","Italia","VICTIM","numero di vittime di delitto","RAPE","violenze sessuali","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",769,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","RAPEUN18","atti sessuali con minorenne","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",51,,
"IT","Italia","VICTIM","numero di vittime di delitto","RAPEUN18","atti sessuali con minorenne","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",3,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","RAPEUN18","atti sessuali con minorenne","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",0,,
"IT","Italia","VICTIM","numero di vittime di delitto","RAPEUN18","atti sessuali con minorenne","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",7,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","CORRUPUN18","corruzione di minorenne","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",17,,
"IT","Italia","VICTIM","numero di vittime di delitto","CORRUPUN18","corruzione di minorenne","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",0,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","CORRUPUN18","corruzione di minorenne","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",2,,
"IT","Italia","VICTIM","numero di vittime di delitto","CORRUPUN18","corruzione di minorenne","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",0,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","PROSTI","sfruttamento e favoreggiamento della prostituzione","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",21,,
"IT","Italia","VICTIM","numero di vittime di delitto","PROSTI","sfruttamento e favoreggiamento della prostituzione","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",1,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","PROSTI","sfruttamento e favoreggiamento della prostituzione","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",8,,
"IT","Italia","VICTIM","numero di vittime di delitto","PROSTI","sfruttamento e favoreggiamento della prostituzione","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",9,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","PORNO","pornografia minorile e detenzione di materiale pedopornografico","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",117,,
"IT","Italia","VICTIM","numero di vittime di delitto","PORNO","pornografia minorile e detenzione di materiale pedopornografico","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",5,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","PORNO","pornografia minorile e detenzione di materiale pedopornografico","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",5,,
"IT","Italia","VICTIM","numero di vittime di delitto","PORNO","pornografia minorile e detenzione di materiale pedopornografico","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",12,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","THEFT","furti","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",6980,,
"IT","Italia","VICTIM","numero di vittime di delitto","THEFT","furti","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",27131,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","THEFT","furti","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",1770,,
"IT","Italia","VICTIM","numero di vittime di delitto","THEFT","furti","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",27639,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","BAGTHEF","furti con strappo","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",292,,
"IT","Italia","VICTIM","numero di vittime di delitto","BAGTHEF","furti con strappo","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",584,,
